case_id,regime,alpha_deg,Re,thickness,Cl_mean,Cl_std,Cd_mean,Cd_std,L_over_D,y_plus_mean,iterations,runtime_s,validated
case_0000,A,6.3241852290900455,2732361.668978817,0.1726496328990472,0.6654072631994,0.00018537088055199506,0.014329201283899999,5.7634865839111424e-05,46.43714956722942,16.279906199,2001,329.86243,True
case_0001,A,4.351074730257757,1779549.757538977,0.1706519612595026,0.456309442121,6.703960968840953e-05,0.014082081712315,1.3665437916955713e-05,32.40355023092575,16.326160817,2001,314.52385,True
case_0002,A,6.187733935338098,1690697.3273191368,0.1007319939418114,0.6594412766714001,0.00010833134032622898,0.01397482625689,1.9329154963539282e-05,47.18779786949238,16.245317349,2001,238.854059,True
case_0003,A,4.080744015516407,1836365.6051543285,0.1551865185103998,0.43362847031415,6.347464072477763e-05,0.01338709421881,1.2535904237468801e-05,32.39153047155411,16.335768001,2001,289.814001,True
case_0004,A,6.490041805716333,1599454.5420554914,0.1055247564316322,0.68870018615435,0.00011350594162525489,0.014815010032470002,2.032262344972749e-05,46.48665000191889,16.346490847,2001,346.177093,True
case_0005,A,7.9024315966431455,2108016.3940942227,0.1469624472949421,0.8286384872873,0.00010957667884467589,0.01631178977629,3.424349657209001e-05,50.79997343343447,16.62581076,2001,343.658109,True
case_0006,A,0.3708072577796045,2954566.9478367446,0.1638972157579533,0.030677748979860003,0.0038186211954466575,0.011372290306254999,4.798927666786793e-05,2.697587570639715,15.702668237,2001,235.131582,True
case_0007,A,7.689204655517711,2211181.830981423,0.1142587799816,0.8155536312851999,7.790670067927157e-05,0.015339321541645001,2.926270319208944e-05,53.16751650788717,16.450135819,2001,258.371571,True
case_0008,A,2.038867728968948,2863996.713845963,0.1180884925020519,0.23071454842675002,0.0032811458789608903,0.01026107291713,9.631517382119121e-05,22.48444683027166,15.862915089,2001,252.781107,True
case_0009,A,3.716122128725401,2825473.0349567384,0.1486095643339799,0.400959761126,1.375072085690778e-05,0.01197585677357,6.726254300754458e-06,33.48067438572698,16.020934939,2001,288.472045,True
case_0010,A,4.725178229582537,1989672.544866096,0.1134951769101112,0.5080376820931,8.939069750693945e-05,0.012584838134210002,1.6119987323964247e-05,40.36902792671409,16.186500285,2001,290.581302,True
case_0011,A,3.310789142699331,2400691.630262898,0.1712372490874968,0.35178082322869997,0.00019720615163991756,0.012725307633595,3.623575546441218e-05,27.644190094076265,15.998251311,2001,288.916422,True
