target,family,slice,R2,RMSE,MAE,n_samples,meets_bar
Cl,gp,global,0.9437021800760437,0.0575680782989528,0.01858465964461499,25,True
Cl,gp,regime_A,0.9998963758828694,0.0020964602908796932,0.0014754498864060158,14,True
Cl,gp,regime_C,0.6332314280604145,0.16589848647813007,0.1367372529560885,3,False
Cl,gp,regime_D,0.9985742173318107,0.005287195477504891,0.004218554229678142,8,True
Cl,rf,global,0.9591077308087153,0.049063276680738975,0.02285160006583247,25,True
Cl,rf,regime_A,0.9962736277179914,0.012571854309839833,0.010118838472414201,14,True
Cl,rf,regime_C,0.7533120935093574,0.13605681381973836,0.10477375205336165,3,False
Cl,rf,regime_D,0.9844882317506811,0.017439312324823916,0.014413125858991,8,True
Cl,mlp,global,0.8318524321615175,0.09949041410274406,0.07504106612558843,25,False
Cl,mlp,regime_A,0.8630247120897008,0.07622147172389108,0.07209016370923205,14,False
Cl,mlp,regime_C,0.3527937091558738,0.22037774340949015,0.18932035405836367,3,False
Cl,mlp,regime_D,0.8697902473105776,0.05052664465782771,0.03735041237942144,8,False
Cl,krg,global,0.875258276300884,0.08569230285656232,0.03232571836626369,25,False
Cl,krg,regime_A,0.9995124507271193,0.004547424273544328,0.003401628376594644,14,True
Cl,krg,regime_C,0.22190670996831907,0.24163631376803565,0.20155701404399926,3,False
Cl,krg,regime_D,0.9481964664911324,0.03186973070559171,0.019481139969033695,8,True
Cd,gp,global,0.4249479281364664,0.004354958240325031,0.0013290045532441145,25,False
Cd,gp,regime_A,0.9790874558223532,0.00021663483032702057,0.00015627373749904565,14,True
Cd,gp,regime_C,0.32315239152528374,0.012561743379044126,0.01011082330599938,3,False
Cd,gp,regime_D,0.9812731718623611,0.000107420095619889,8.810144851475977e-05,8,True
Cd,rf,global,0.44907930285050157,0.0042626036535534035,0.001552713425347165,25,False
Cd,rf,regime_A,0.9277374227290496,0.0004026999456633318,0.00033559701299933347,14,True
Cd,rf,regime_C,0.3554334477450215,0.012258528762648607,0.010502698548442773,3,False
Cd,rf,regime_D,0.7647144558104186,0.00038075976034756485,0.0003264227257950166,8,False
Cd,mlp,global,-85.49304489777714,0.05340980616018645,0.04109368902266193,25,False
Cd,mlp,regime_A,-762.8013323494686,0.04140140250362433,0.027871276074979644,14,False
Cd,mlp,regime_C,-15.5958010432708,0.0622018895182525,0.061443657199853445,3,False
Cd,mlp,regime_D,-7243.424481689029,0.06681213761646818,0.05660167361465911,8,False
Cd,krg,global,0.4953991727138072,0.004079476049675448,0.0009960364115652075,25,False
Cd,krg,regime_A,0.9810801684239631,0.00020605515340065252,0.00015333841730226318,14,True
Cd,krg,regime_C,0.4060689975959163,0.011767181858729348,0.0074230355719203875,3,False
Cd,krg,regime_D,0.9880326684968073,8.587209984991315e-05,6.063321639216725e-05,8,True
