case_id,alpha_deg,Re,thickness,regime
0,6.3241852290900455,2732361.668978817,0.17264963289904722,A
1,4.351074730257757,1779549.757538977,0.1706519612595026,A
2,6.187733935338098,1690697.3273191368,0.10073199394181141,A
3,4.080744015516407,1836365.6051543285,0.15518651851039986,A
4,6.490041805716333,1599454.5420554914,0.10552475643163224,A
5,7.9024315966431455,2108016.3940942227,0.14696244729494212,A
6,0.37080725777960455,2954566.9478367446,0.16389721575795332,A
7,7.689204655517711,2211181.830981423,0.11425877998160003,A
8,2.038867728968948,2863996.713845963,0.11808849250205192,A
9,3.7161221287254005,2825473.0349567384,0.1486095643339799,A
10,4.725178229582537,1989672.5448660962,0.11349517691011127,A
11,3.310789142699331,2400691.630262898,0.1712372490874968,A
12,0.4832442640800422,1857098.0116670725,0.12154269608315825,A
13,2.762329812682756,2924493.9479016084,0.16165998404603418,A
14,1.0607544851901438,2266801.711873566,0.12706355835028602,A
15,6.708413996499505,1636727.7121600353,0.14730087830981678,A
16,4.828484049437748,2537264.62621822,0.11932533033076327,A
17,7.75026370931052,2682995.6768963607,0.16916080805141748,A
18,0.9514234438413611,1521675.3495082958,0.11552006802117781,A
19,7.232539969815927,2147035.7004593383,0.14142710778862627,A
20,6.534920957461266,1945729.5894243123,0.1268631034258756,A
21,5.604077514155477,1679857.7731661634,0.1378081203795644,A
22,4.411986536733369,2752122.666484831,0.10260111501174321,A
23,5.1489452760277565,2627127.6285232613,0.1512420552715115,A
24,1.403438852111522,2441991.785450006,0.17356830860333547,A
25,5.583530249558924,1556635.9592680463,0.1307607850486169,A
26,1.8597899978811085,1617960.5463787133,0.15722649577519793,A
27,1.1948885537253335,1880087.7943457605,0.16589711025995257,A
28,3.0119594245938304,2561079.2426847797,0.1041818249672071,A
29,1.5662522284353984,2075873.339760431,0.12947221492516195,A
30,1.34401524937396,2303638.6984360563,0.15869093773810247,A
31,5.864517279040945,2273023.7842976614,0.13880367207689912,A
32,0.7139493860652042,2314076.4563090396,0.1314937955963644,A
33,0.03745401188473625,2163944.679806918,0.11789482735042765,A
34,1.9195982862419145,2894394.6713073645,0.162529650578356,A
35,3.5249292229148876,2775172.444717812,0.159137520944146,A
36,0.6431945018642117,2012454.3379659872,0.12319871568153418,A
37,1.2304613769173371,1746038.2169033396,0.10819967378215836,A
38,6.034106635105026,2353477.3241576883,0.13628975145291378,A
39,6.8606429059659595,2590769.3705438436,0.1522376375439924,A
40,3.4314355981076328,2176443.37330929,0.16810147154286603,A
41,5.0908265885966655,2419715.2265859377,0.12082873750915193,A
42,7.3849223410494185,1983211.3190003615,0.12470685734384762,A
43,2.8310982321715663,2711870.6523238737,0.13575555113854304,A
44,3.8633403756510427,1553740.80273328,0.1540902897700544,A
45,4.281801476592249,2031097.1872880016,0.11006505159298528,A
46,0.8456069984217036,1899017.5220566383,0.14494290970391252,A
47,6.966350176910805,1578981.3583252176,0.103969909852162,A
